act_symbol,period_end_date,reported,estimate
AAPL,2020-03-31,2.55,2.09
AAPL,2020-06-30,2.58,2.03
AAPL,2020-09-30,0.73,0.69
AAPL,2020-12-31,1.68,1.41
AAPL,2021-03-31,1.40,1.00
AAPL,2021-06-30,1.30,1.00
AAPL,2021-09-30,1.24,1.24
AAPL,2021-12-31,2.10,1.89
AAPL,2022-03-31,1.52,1.43
AAPL,2022-06-30,1.20,1.14
AAPL,2022-09-30,1.29,1.26
AAPL,2022-12-31,1.88,1.93
AAPL,2023-03-31,1.88,1.93
AAPL,2023-06-30,1.52,1.44
AAPL,2023-09-30,1.46,1.39
AAPL,2023-12-31,2.18,2.09
AAPL,2024-03-31,1.53,1.51
AAPL,2024-06-30,1.40,1.34
AAPL,2024-09-30,1.64,1.49
AAPL,2024-12-31,2.40,2.36
ADBE,2020-02-29,2.27,2.22
ADBE,2020-05-31,2.45,2.35
ADBE,2020-08-31,2.57,2.40
ADBE,2020-11-30,2.81,2.65
ADBE,2021-02-28,3.14,2.79
ADBE,2021-05-31,3.03,2.81
ADBE,2021-08-31,3.11,3.00
ADBE,2021-11-30,3.20,3.18
ADBE,2022-02-28,3.37,3.34
ADBE,2022-05-31,3.35,3.30
ADBE,2022-08-31,3.40,3.33
ADBE,2022-11-30,3.60,3.50
ADBE,2023-02-28,3.80,3.66
ADBE,2023-05-31,3.91,3.78
ADBE,2023-08-31,4.09,3.97
ADBE,2023-11-30,4.27,4.13
ADBE,2024-02-29,4.48,4.38
ADBE,2024-05-31,4.48,4.39
ADBE,2024-08-31,4.65,4.53
ADBE,2024-11-30,4.81,4.66
ADBE,2025-02-28,5.08,4.97
ADI,2020-01-31,1.03,1.00
ADI,2020-04-30,1.08,1.05
ADI,2020-07-31,1.36,1.33
ADI,2020-10-31,1.44,1.32
ADI,2021-01-31,1.44,1.32
ADI,2021-04-30,1.54,1.45
ADI,2021-07-31,1.72,1.61
ADI,2021-10-31,1.73,1.69
ADI,2022-01-31,1.94,1.79
ADI,2022-04-30,2.40,2.12
ADI,2022-07-31,2.52,2.43
ADI,2022-10-31,2.73,2.58
ADI,2023-01-31,2.75,2.59
ADI,2023-04-30,2.83,2.75
