act_symbol,date,when
ABNB,2021-02-25,After market close
ABNB,2021-05-13,After market close
ABNB,2021-08-12,After market close
ABNB,2021-11-04,After market close
ABNB,2022-02-15,After market close
ABNB,2022-05-03,After market close
ABNB,2022-08-02,After market close
ABNB,2022-11-01,After market close
ABNB,2023-02-14,After market close
ABNB,2023-05-09,After market close
ABNB,2023-08-03,After market close
ABNB,2023-11-01,After market close
ABNB,2024-02-13,After market close
ABNB,2024-05-08,After market close
ABNB,2024-08-06,After market close
ABNB,2024-11-07,After market close
ABNB,2025-02-13,After market close
ABNB,2025-05-01,After market close
ADSK,2020-02-27,After market close
ADSK,2020-05-27,After market close
ADSK,2020-08-25,After market close
ADSK,2020-11-24,After market close
ADSK,2021-02-25,After market close
ADSK,2021-05-27,After market close
ADSK,2021-08-25,After market close
ADSK,2021-11-23,After market close
ADSK,2022-02-24,After market close
ADSK,2022-05-26,
ADSK,2022-08-24,After market close
ADSK,2022-11-22,After market close
ADSK,2023-02-23,After market close
ADSK,2023-05-25,After market close
ADSK,2023-08-23,After market close
ADSK,2023-11-21,After market close
ADSK,2024-02-29,After market close
ADSK,2024-06-13,
ADSK,2024-08-29,After market close
ADSK,2024-11-26,After market close
ADSK,2025-02-27,After market close
AEP,2020-02-20,Before market open
AEP,2020-05-06,Before market open
AEP,2020-08-06,Before market open
AEP,2020-10-22,Before market open
AEP,2021-04-22,Before market open
AEP,2021-07-22,Before market open
AEP,2021-10-28,Before market open
AEP,2022-02-24,Before market open
AEP,2022-04-28,Before market open
AEP,2022-07-27,Before market open
AEP,2022-10-27,Before market open
AEP,2023-02-23,Before market open
AEP,2023-05-04,Before market open
AEP,2023-07-27,Before market open
AEP,2023-11-02,Before market open
AEP,2024-02-27,Before market open
AEP,2024-04-30,Before market open
AEP,2024-07-30,Before market open
AEP,2024-11-06,Before market open
AEP,2025-02-13,Before market open
AEP,2025-05-06,Before market open
ANSS,2020-02-26,After market close
ANSS,2020-05-06,After market close
ANSS,2020-08-05,After market close
ANSS,2020-11-04,After market close
ANSS,2021-02-24,After market close
ANSS,2021-05-05,After market close
ANSS,2021-08-04,After market close
ANSS,2021-11-03,After market close
ANSS,2022-02-23,After market close
ANSS,2022-05-04,After market close
ANSS,2022-08-03,After market close
ANSS,2022-11-02,After market close
ANSS,2023-02-22,After market close
ANSS,2023-05-03,After market close
ANSS,2023-08-02,After market close
ANSS,2023-11-01,After market close
ANSS,2024-02-21,After market close
ANSS,2024-05-01,After market close
ANSS,2024-07-31,After market close
ANSS,2024-11-06,After market close
ANSS,2025-02-19,After market close
ANSS,2025-04-30,After market close
ARM,2024-02-07,After market close
ARM,2024-05-08,After market close
ARM,2024-07-31,After market close
ARM,2024-11-06,After market close
ARM,2025-02-05,After market close
ARM,2025-05-07,After market close
ASML,2020-01-22,Before market open
ASML,2020-04-15,
ASML,2020-07-15,Before market open
ASML,2021-01-20,Before market open
ASML,2021-04-21,Before market open
ASML,2021-07-21,Before market open
ASML,2021-10-20,Before market open
ASML,2022-01-19,Before market open
ASML,2022-04-20,Before market open
ASML,2022-07-20,Before market open
ASML,2022-10-19,Before market open
ASML,2023-01-25,Before market open
ASML,2023-04-19,Before market open
ASML,2023-07-19,Before market open
ASML,2023-10-18,Before market open
ASML,2024-01-24,Before market open
ASML,2024-04-17,Before market open
ASML,2024-07-17,Before market open
ASML,2024-10-16,Before market open
ASML,2025-01-29,Before market open
ASML,2025-04-16,Before market open
AXON,2021-02-25,After market close
AXON,2021-05-06,After market close
AXON,2021-08-05,After market close
AXON,2021-11-15,After market close
AXON,2022-02-24,After market close
AXON,2022-05-10,After market close
AXON,2022-08-09,After market close
AXON,2022-11-08,After market close
AXON,2023-02-28,After market close
AXON,2023-05-09,After market close
AXON,2023-08-08,After market close
AXON,2023-11-07,After market close
AXON,2024-02-27,After market close
AXON,2024-05-06,After market close
AXON,2024-08-06,After market close
AXON,2024-11-07,After market close
AXON,2025-02-25,After market close
AXON,2025-05-05,
AZN,2020-02-14,Before market open
AZN,2020-04-29,Before market open
AZN,2020-07-30,Before market open
AZN,2020-11-05,Before market open
AZN,2021-04-30,Before market open
AZN,2021-07-29,Before market open
AZN,2021-11-12,Before market open
AZN,2022-04-29,Before market open
AZN,2022-07-29,Before market open
AZN,2022-11-10,Before market open
AZN,2023-02-09,Before market open
AZN,2023-04-27,Before market open
AZN,2023-07-28,Before market open
AZN,2023-11-09,Before market open
AZN,2024-02-08,Before market open
AZN,2024-04-25,Before market open
AZN,2024-07-25,Before market open
AZN,2024-11-12,Before market open
AZN,2025-02-06,Before market open
AZN,2025-04-29,Before market open
BIIB,2020-01-30,Before market open
BIIB,2020-04-22,Before market open
BIIB,2020-07-22,Before market open
BIIB,2020-10-21,Before market open
BIIB,2021-02-03,Before market open
BIIB,2021-04-22,Before market open
BIIB,2021-07-22,Before market open
BIIB,2021-10-20,Before market open
BIIB,2022-02-03,Before market open
BIIB,2022-05-03,Before market open
BIIB,2022-07-20,Before market open
BIIB,2022-10-25,Before market open
BIIB,2023-02-15,Before market open
BIIB,2023-04-25,Before market open
BIIB,2023-07-25,Before market open
BIIB,2023-11-08,Before market open
BIIB,2024-02-13,Before market open
BIIB,2024-04-24,Before market open
BIIB,2024-08-01,Before market open
BIIB,2024-10-30,Before market open
BIIB,2025-02-12,Before market open
BIIB,2025-05-01,Before market open
BKR,2020-01-22,Before market open
BKR,2020-04-22,Before market open
BKR,2020-07-22,Before market open
BKR,2020-10-21,Before market open
BKR,2021-01-21,Before market open
BKR,2021-04-21,Before market open
BKR,2021-07-21,Before market open
BKR,2021-10-20,Before market open
BKR,2022-01-20,Before market open
BKR,2022-04-20,Before market open
BKR,2022-07-20,Before market open
BKR,2022-10-19,Before market open
BKR,2023-01-23,Before market open
BKR,2023-04-19,Before market open
BKR,2023-07-19,Before market open
BKR,2023-10-25,After market close
BKR,2024-01-23,After market close
BKR,2024-04-23,After market close
BKR,2024-07-25,After market close
BKR,2024-10-22,After market close
BKR,2025-01-30,After market close
BKR,2025-04-22,After market close
CCEP,2020-02-13,Before market open
CCEP,2020-05-14,
CCEP,2020-05-28,
CCEP,2020-06-04,
CCEP,2020-06-11,
CCEP,2020-06-18,
CCEP,2020-06-25,
CCEP,2020-07-02,
CCEP,2020-08-06,Before market open
CCEP,2021-05-13,
CCEP,2021-05-27,
CCEP,2021-06-03,
CCEP,2021-06-10,
CCEP,2021-06-17,
CCEP,2021-06-24,
CCEP,2021-07-01,
CCEP,2021-09-02,Before market open
CCEP,2021-11-09,Before market open
CCEP,2022-02-16,Before market open
CCEP,2022-05-18,
CCEP,2022-06-01,
CCEP,2022-06-08,
CCEP,2022-06-15,
CCEP,2022-06-22,
CCEP,2022-06-29,
CCEP,2022-07-06,
CCEP,2023-02-15,
CCEP,2023-05-18,
CCEP,2023-06-01,
CCEP,2023-06-08,
CCEP,2023-06-15,
CCEP,2023-06-22,
CCEP,2023-06-29,
CCEP,2024-02-23,Before market open
CCEP,2024-05-24,
CCEP,2024-08-07,Before market open
CCEP,2024-11-05,Before market open
CCEP,2025-02-28,
CCEP,2025-05-09,
CDW,2020-02-06,Before market open
CDW,2020-05-06,Before market open
CDW,2020-08-05,Before market open
CDW,2020-11-02,Before market open
CDW,2021-02-10,Before market open
CDW,2021-05-05,Before market open
CDW,2021-08-04,Before market open
CDW,2021-11-03,Before market open
CDW,2022-02-09,Before market open
CDW,2022-05-04,Before market open
CDW,2022-08-03,Before market open
CDW,2022-11-02,Before market open
CDW,2023-02-08,Before market open
CDW,2023-05-03,Before market open
CDW,2023-08-02,Before market open
CDW,2023-11-01,Before market open
CDW,2024-02-07,Before market open
CDW,2024-05-01,Before market open
CDW,2024-07-31,Before market open
CDW,2024-10-30,Before market open
CDW,2025-02-05,Before market open
CDW,2025-05-07,Before market open
CHTR,2020-01-31,Before market open
CHTR,2020-05-01,Before market open
CHTR,2020-07-31,Before market open
CHTR,2020-10-30,Before market open
CHTR,2021-01-29,Before market open
CHTR,2021-04-30,Before market open
CHTR,2021-07-30,Before market open
CHTR,2021-10-29,Before market open
CHTR,2022-04-29,Before market open
CHTR,2022-07-29,Before market open
CHTR,2022-10-28,Before market open
CHTR,2023-01-27,Before market open
CHTR,2023-04-28,Before market open
CHTR,2023-07-28,Before market open
CHTR,2023-10-27,Before market open
CHTR,2024-02-02,Before market open
CHTR,2024-04-26,Before market open
CHTR,2024-07-26,Before market open
CHTR,2024-11-01,Before market open
CHTR,2025-01-31,Before market open
CHTR,2025-04-25,Before market open
CPRT,2020-02-19,After market close
CPRT,2020-05-20,After market close
CPRT,2020-09-02,After market close
CPRT,2020-11-18,After market close
CPRT,2021-02-17,
CPRT,2021-05-19,
CPRT,2021-09-08,After market close
CPRT,2021-11-17,
CPRT,2022-02-17,
CPRT,2022-05-18,
CPRT,2022-09-07,After market close
CPRT,2022-11-16,After market close
CPRT,2023-02-20,After market close
CPRT,2023-05-17,
CPRT,2023-09-14,After market close
CPRT,2023-11-15,
CPRT,2024-02-22,After market close
CPRT,2024-05-16,After market close
CPRT,2024-09-04,After market close
CPRT,2024-11-21,After market close
CPRT,2025-02-20,After market close
CPRT,2025-05-15,
CSGP,2020-02-25,After market close
CSGP,2020-04-28,After market close
CSGP,2020-07-28,After market close
CSGP,2020-10-27,After market close
CSGP,2021-02-23,After market close
CSGP,2021-04-27,After market close
CSGP,2021-07-27,After market close
CSGP,2021-10-26,After market close
CSGP,2022-02-22,After market close
CSGP,2022-04-26,After market close
CSGP,2022-07-26,After market close
CSGP,2022-10-25,After market close
CSGP,2023-02-21,After market close
CSGP,2023-04-25,After market close
CSGP,2023-07-25,After market close
CSGP,2023-10-24,After market close
CSGP,2024-02-20,After market close
CSGP,2024-04-23,After market close
CSGP,2024-07-23,After market close
CSGP,2024-10-22,After market close
CSGP,2025-02-18,After market close
CSGP,2025-04-29,After market close
CSX,2020-04-22,After market close
CSX,2020-07-22,After market close
CSX,2020-10-21,After market close
CSX,2021-01-21,After market close
CSX,2021-04-20,After market close
CSX,2021-07-21,After market close
CSX,2021-10-20,After market close
CSX,2022-01-20,After market close
CSX,2022-04-20,After market close
CSX,2022-07-20,After market close
CSX,2022-10-20,After market close
CSX,2023-01-25,After market close
CSX,2023-04-20,After market close
CSX,2023-07-20,After market close
CSX,2023-10-19,After market close
CSX,2024-01-24,After market close
CSX,2024-04-17,After market close
CSX,2024-08-05,After market close
CSX,2024-10-16,After market close
CSX,2025-01-23,After market close
CSX,2025-04-16,After market close
CTSH,2020-02-05,After market close
CTSH,2020-05-07,After market close
CTSH,2020-07-29,After market close
CTSH,2020-10-28,After market close
CTSH,2021-02-03,After market close
CTSH,2021-05-05,After market close
CTSH,2021-07-28,After market close
CTSH,2021-10-27,After market close
CTSH,2022-02-02,After market close
CTSH,2022-05-04,After market close
CTSH,2022-07-27,After market close
CTSH,2022-11-02,After market close
CTSH,2023-02-02,After market close
CTSH,2023-05-03,After market close
CTSH,2023-08-02,After market close
CTSH,2023-11-01,After market close
CTSH,2024-02-06,After market close
CTSH,2024-05-01,After market close
CTSH,2024-07-31,After market close
CTSH,2024-10-30,After market close
CTSH,2025-02-05,After market close
CTSH,2025-04-30,After market close
DDOG,2020-02-13,After market close
DDOG,2020-05-11,After market close
DDOG,2020-08-06,After market close
DDOG,2020-11-10,After market close
DDOG,2021-05-06,After market close
DDOG,2021-08-05,Before market open
DDOG,2021-11-04,After market close
DDOG,2022-05-05,Before market open
DDOG,2022-08-04,Before market open
DDOG,2022-11-03,Before market open
DDOG,2023-02-16,Before market open
DDOG,2023-05-04,Before market open
DDOG,2023-08-08,Before market open
DDOG,2023-11-07,Before market open
DDOG,2024-02-13,Before market open
DDOG,2024-05-07,Before market open
DDOG,2024-08-08,Before market open
DDOG,2024-11-07,Before market open
DDOG,2025-02-13,Before market open
DDOG,2025-05-06,Before market open
DXCM,2020-02-13,After market close
DXCM,2020-04-28,After market close
DXCM,2020-07-28,After market close
DXCM,2020-10-27,After market close
DXCM,2021-04-29,After market close
DXCM,2021-07-29,After market close
